text_clean,airline_sentiment,negativereason,airline,topic
dont pairing include red wine white offered redwineisbetter,negative,Bad Flight,Virgin America,-1
site seems little wonked right may want look tried two browser cs,negative,Customer Service Issue,Virgin America,63
disappointed agent designated silver status check line closed assist pasengers,negative,Customer Service Issue,Virgin America,19
normal receive reply central baggage baggageissues smh,negative,Customer Service Issue,Virgin America,0
logan airport waiting checkin flight checkin desk not open,negative,longlines,Virgin America,-1
congrats got business ewr sfolax fuck sfoewr clincher,negative,Can't Tell,Virgin America,-1
applied week ago havent heard back flying week disappointed,negative,Customer Service Issue,Virgin America,-1
many apology worse airline dont even respond cudtomers,negative,Customer Service Issue,Virgin America,1
shame making people spend money stranded city airline landing jfk reimburse,negative,Cancelled Flight,Virgin America,15
bad say take day via confirmation email inquired week claim week,negative,Customer Service Issue,Virgin America,10
flight bos la tomorrow cancelled flightled notification wait time hour rebook another airline,negative,Cancelled Flight,Virgin America,-1
lot apology thrown customer seevery sad thanks nothing worst airline ever,negative,Can't Tell,Virgin America,1
flight stuff wrong nothing worst flight ever,negative,Flight Attendant Complaints,Virgin America,5
trying book flight guy website wont let lose business,negative,Flight Booking Problems,Virgin America,25
dmd issue persisting,negative,Flight Booking Problems,Virgin America,-1
never recd cancelled flightlation notice left option fly driving red eye mon kid,negative,Cancelled Flight,Virgin America,-1
trying book flight amp site,negative,Flight Booking Problems,Virgin America,3
flight flying boston tomorrow need home cancelled flightled flight didnt anything,negative,Cancelled Flight,Virgin America,-1
stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,negative,Cancelled Flight,Virgin America,1
website trying check,negative,Customer Service Issue,Virgin America,63
seat row dont recline mention website soreback,negative,Bad Flight,Virgin America,4
flight delayed hour due mechanical problem handle like pro could tossed free drink,negative,Late Flight,Virgin America,37
guy charged reschedule flight cancelled flighted refusing refund whats deal,negative,Cancelled Flight,Virgin America,1
cant access website safari iphone seems work mac ipad need iphone add passbook,negative,Customer Service Issue,Virgin America,63
mobile site broken show headerelevateusernumofpointsavailable number point wont let checkin,negative,Customer Service Issue,Virgin America,-1
really looking forward flight let know rescheduled diehardvirgin,negative,Cancelled Flight,Virgin America,-1
cancelled flight flight one sec delayed airport next cancelled flightledgonna email call reschedule,negative,Cancelled Flight,Virgin America,-1
problem link email checkin thanks,negative,Customer Service Issue,Virgin America,64
change another airline get today able land not cost ugh,negative,Flight Booking Problems,Virgin America,-1
looking forward first flight today cancelled flightled along subsequent one,negative,Cancelled Flight,Virgin America,1
gon deal dallas deal dallas sad,negative,Can't Tell,Virgin America,27
hold time call center bit much,negative,Customer Service Issue,Virgin America,49
trying reset password email never arrives help,negative,Customer Service Issue,Virgin America,72
today flight palm spring jfk cancelled flightled,negative,Cancelled Flight,Virgin America,-1
cs site right please fix site unusable,negative,Customer Service Issue,Virgin America,63
trying checkin website not working tried different browser problem continues,negative,Customer Service Issue,Virgin America,63
passenger flt assaulted shouldnt flown trust he banned crew filed report,negative,Bad Flight,Virgin America,-1
current bug website show select departure city selecting destination city,negative,Flight Booking Problems,Virgin America,-1
luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,negative,Damaged Luggage,Virgin America,0
requested window seat confirmed window got stuck middle seat not good way treat silver member,negative,Bad Flight,Virgin America,4
wtf paid direct flight purpose not stop fuel exhausted frequent flier nothing inconvenience,negative,Bad Flight,Virgin America,-1
something wrong website safari iphone,negative,Customer Service Issue,Virgin America,63
boo not refunding seat upgrade fee not want buy first place,negative,Customer Service Issue,Virgin America,4
moved seat notice better seat cabin select not behind row selected disappointed,negative,Bad Flight,Virgin America,4
already contacted central baggage amp sent charging dress lost suitcase help,negative,Lost Luggage,Virgin America,0
anything going website ive getting lot error past minute,negative,Customer Service Issue,Virgin America,63
checked flight sfo lax amp told atlantic flying club gold get benefit,negative,Can't Tell,Virgin America,3
husband ordered three drink via screen never came awesome,negative,Flight Attendant Complaints,Virgin America,37
soooo guy going leave seatbelt light flight barely call turbulence,negative,Bad Flight,Virgin America,-1
funny story website broken missing javascript stylesheets checkin process dislike,negative,Flight Booking Problems,Virgin America,63
trying check flight tmm desktop website not working sort caching bug so,negative,Customer Service Issue,Virgin America,25
guy know checkin link email broken,negative,Customer Service Issue,Virgin America,64
lost luggage day ago flight lax iad amp calling every day responseplease give back stuff,negative,Lost Luggage,Virgin America,0
flight booking problem section website seems broken chrome might wan look,negative,Flight Booking Problems,Virgin America,25
look like broken link asset,negative,Can't Tell,Virgin America,64
manage itinerary section website seems broken,negative,Flight Booking Problems,Virgin America,25
cant check site look like every time load,negative,Customer Service Issue,Virgin America,63
carrier less half price round trip fare stunned,negative,Customer Service Issue,Virgin America,76
wtf happening pdx late flight march one way sfo,negative,Flight Booking Problems,Virgin America,-1
luggage gone ive filed paperwork promised callemail still resolution response central luggage,negative,Lost Luggage,Virgin America,0
requested mileage challenge status several week ago online havent heard back get help,negative,Flight Booking Problems,Virgin America,17
applied status match feb got confirmation email day still news though guy dropped ball late flightly,negative,Customer Service Issue,Virgin America,-1
trying checkinbut look like site,negative,Customer Service Issue,Virgin America,63
spending birthday night daldca get home,negative,Late Flight,Virgin America,-1
sent couple message email provided avail try next year cheer,negative,Customer Service Issue,Virgin America,35
not really experience hoping forced check small carry nothing empty cabin space board,negative,Bad Flight,Virgin America,0
wjere luggage slow lax,negative,longlines,Virgin America,0
spoke representative offered solution loyal customer fly well,negative,Customer Service Issue,Virgin America,-1
deeply disappointed birthday promo not applied trip booked mere day received email,negative,Flight Booking Problems,Virgin America,23
happened direct flight sfofll looking may see connecting help dontdothistome,negative,Flight Booking Problems,Virgin America,12
embossed badge patch superior one currently using,negative,Can't Tell,Virgin America,-1
jfk dirty plane not standard,negative,Bad Flight,Virgin America,15
flight headed jfk dirtiest plane ever sad great airline,negative,Bad Flight,Virgin America,-1
avis rental continue button doesnt work website book car tried time phone suck,negative,Customer Service Issue,Virgin America,-1
currently minute hold cust service need anything add lap child reservation,negative,Customer Service Issue,Virgin America,8
comenity bank joke please change nothing constant problem bank,negative,Can't Tell,Virgin America,-1
submitted status match request back still havent heard flying monday look accelerate,negative,Customer Service Issue,Virgin America,-1
pulling hair trying book flight site doesnt work iphone ipaddont computer help,negative,Flight Booking Problems,Virgin America,25
not even open laptop seat paid premium let,negative,Bad Flight,Virgin America,4
seat not even open laptop paid extra seat,negative,Bad Flight,Virgin America,4
fyi infocom email address say contact password reset email doesnt exist email bounce,negative,Customer Service Issue,Virgin America,72
status match week gone newsflt next week hope flt count towards requirement cust svc help,negative,Customer Service Issue,Virgin America,-1
website suck donkey dick thought know best,negative,Customer Service Issue,Virgin America,-1
crap channel pay watch,negative,Can't Tell,Virgin America,11
come dont iphone app still using making waste paper,negative,Can't Tell,Virgin America,57
back seat entertainment system not accept credit card apostrophe surname apostrophefail,negative,Customer Service Issue,Virgin America,81
use lga slot instead today adding au make less likely,negative,longlines,Virgin America,-1
sad learn longer fly sfo phl hope return,negative,Flight Booking Problems,Virgin America,-1
kinda sucked earphone jack didnt work flight may want look future passenger,negative,Bad Flight,Virgin America,3
poor experience first computer problem seat malfunction stuck missing meeting san diego,negative,Bad Flight,Virgin America,4
tried offered charge additional new ticket stranded thurs time last time,negative,Cancelled Flight,Virgin America,-1
never bad experience one took cake extortion carry item well,negative,Can't Tell,Virgin America,0
spend hour worrying item carryon would brokenstolen since couldnt carry plane lock bag,negative,Damaged Luggage,Virgin America,0
group told room bin got plane room least bag row,negative,Flight Attendant Complaints,Virgin America,0
thanks making flight lax jfk nightmare forcing check carry bag gate,negative,Bad Flight,Virgin America,0
lot flight book site not working ive phone waiting minute,negative,Customer Service Issue,Virgin America,25
taking year fly home dallas get shit together,negative,Late Flight,Virgin America,27
man steel fly city thoughand frequency,negative,Customer Service Issue,Virgin America,5
started flight scolding using overhead bin offered person seated next,negative,Customer Service Issue,Virgin America,14
airline werent cancelled flighting flight bos helping customer get home virgin saying good luck,negative,Cancelled Flight,Virgin America,1
grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin,negative,Customer Service Issue,Virgin America,25
one traveler affected boston storm shocked virgin complete apathy toward customer,negative,Customer Service Issue,Virgin America,-1
umm reason someone different contact contact get definitive answer,negative,Customer Service Issue,Virgin America,-1
trying make change advance not hour priortried online earlier wanted change fee,negative,Flight Booking Problems,Virgin America,81
mood lighting point reclining seat kickin foot,negative,Bad Flight,Virgin America,4
group got cancelled flightlation fee waived cant ticket booked rep help either,negative,Customer Service Issue,Virgin America,-1
still refund word via please resolve issue cancelled flightled flight useless assistant trip,negative,Cancelled Flight,United,1
delayed due lack crew delayed there long line deicing still need improve service united,negative,Late Flight,United,-1
think boarded flight early think,negative,Can't Tell,United,-1
gate agent hooked alternate flight way prevent constant issue would rock,negative,Bad Flight,United,2
worst nonrefundable first class ticket select globalfc system auto selects economy wupgrade,negative,Flight Booking Problems,United,5
buy tix day flight cant transfer tix flawed security logic flawed customer service,negative,Customer Service Issue,United,-1
start claim week unrealistic really supposed long car seat childridiculous,negative,Customer Service Issue,United,4
car seat lost reimburse new one not pair shoe necessity child,negative,Lost Luggage,United,4
totally suck cousin worked phl said,negative,Can't Tell,United,14
beginning feb called united said would send another voucher mail never got anything tiredofwaiting,negative,Customer Service Issue,United,-1
internet great thing emailing executive company maybe respond timely manner,negative,Customer Service Issue,United,10
thats weak see hey,negative,Can't Tell,United,-1
flew back company since united didnt earlier flight,negative,Can't Tell,United,-1
trying book award september need flight not show even many award seat availab,negative,Customer Service Issue,United,25
sure drive total hour get bag like explain debacle one want talk,negative,Customer Service Issue,United,0
see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,negative,Late Flight,United,-1
preferred security line anymore tsa precheck didnt pull partner flight platinum spoiled,negative,longlines,United,71
yes please newly married trying update last name preexisting international flight seems easy,negative,Customer Service Issue,United,-1
united refuse reissue lost voucher plane didnt take due mechanic badcustomerservice,negative,Customer Service Issue,United,59
also run instructed shattered computer,negative,Can't Tell,United,-1
yes weve agent last minute one agent rude thankfully ladan nice,negative,Flight Attendant Complaints,United,19
iah charlotte baggage claim rep latrice customerservice non existent ignored customer inappropriately touched customer,negative,Flight Attendant Complaints,United,7
would loved respond website saw really long form business new seat bad,negative,Customer Service Issue,United,4
refund flight voucher another flight different airline expense today hour drive inconvenient,negative,Cancelled Flight,United,-1
not received call back daysits infant car seat supposed anywhere child,negative,Lost Luggage,United,4
well sitting ground time waiting gateagain tiredofthis,negative,Late Flight,United,2
need guy not book plane not concern ill travel someone else moving forward,negative,Flight Booking Problems,United,85
measly ecertificate not appreciate loyal customer wait hr tarmac unacceptable,negative,Late Flight,United,39
email addressusername signon available,negative,Can't Tell,United,72
cant get boarding pas austrian airline codeshare flight rebook incls hour layover amp stuck outside sec,negative,Flight Booking Problems,United,3
received flight united truly break guitar unitedbreaksguitars wantmymoneyback,negative,Damaged Luggage,United,43
flew telaviv paid third suitcase didnt even make plane besides impolite service,negative,Lost Luggage,United,0
bag still colo spring disabled search unfamiliar airport look bag not good outcome,negative,Lost Luggage,United,0
shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,negative,Customer Service Issue,United,-1
denver said dont handle baggage made colo spring gave number call help either,negative,Customer Service Issue,United,0
guy need serious training customer service many better option put way guy handle mistake,negative,Customer Service Issue,United,-1
found problem avoided like plague told cant find supervisor,negative,Customer Service Issue,United,-1
zccu cancelled flight flight advance need connect flight reschedule link isnt helping help waited month see,negative,Cancelled Flight,United,1
addition first flight delayed hour arriving destination hr late flight,negative,Late Flight,United,6
travel booked thru united group dept okc ticket agent less willing help connection lax,negative,Flight Booking Problems,United,-1
upset disability service told one employee carrying medical equipment rude,negative,Flight Attendant Complaints,United,14
thnx quick reply dont think assist intl grp put considerable inconvenience today,negative,Customer Service Issue,United,48
wont transfer flight ticket accompany old who active military mom emergency brain surgery wow,negative,Can't Tell,United,-1
week late flightr still not received mile mileageplus gift card starbucks card handed,negative,Flight Booking Problems,United,17
always hoping improvement,negative,Customer Service Issue,United,-1
not yet complained guy checked luggage throwing bag around unfortunate coincidence hope,negative,Damaged Luggage,United,0
okc ticket agent roger mclarrensp less helpful intl group travel problem cant find supervisor help,negative,Customer Service Issue,United,-1
mobile apps need construction ground category expensive get right,negative,Can't Tell,United,57
another fail united ticket agent okc less helpful could care less problem american come,negative,Flight Booking Problems,United,-1
sent email customer care telling may break sincerely hope help,negative,Customer Service Issue,United,10
silly flying delta today united club staff attendant surly unhelpful always seem bothered pesky folk,negative,Flight Attendant Complaints,United,14
phone number cant find call flight reservation,negative,Flight Booking Problems,United,8
well cant fix missing buddy bday negligence attempt make,negative,Can't Tell,United,-1
believe help customer service couldnt like said want number someone fix,negative,Customer Service Issue,United,-1
helped baggage service desk said tsa screening fll not bag made bag ewr,negative,Lost Luggage,United,0
whats point asking detail servicedog book flight crew doesnt read continued,negative,Flight Attendant Complaints,United,-1
tried one available bogota everyone rude houston stuck hour guy,negative,Late Flight,United,-1
worstunitedflightsever la iad mechanical problem took land fix delayed wtfodds,negative,Bad Flight,United,6
whats going outbound flight last thurs delayed hr long delay worstunitedflightsever,negative,Late Flight,United,6
worstunitedflightsever iad la mechanical problem switched aircraft delayed hour,negative,Late Flight,United,6
crashed trying check,negative,Customer Service Issue,United,-1
logan boarding gong show due lax carry enforcement bin full coat room bag need better system,negative,longlines,United,0
blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam,negative,Customer Service Issue,United,-1
disappointed didnt honor credit given mistake taking business elsewhere,negative,Customer Service Issue,United,-1
still waiting supposed depart,negative,Late Flight,United,84
credit last trip never came mail,negative,Customer Service Issue,United,66
month waiting hear airline gave quite bit day requested terrible service,negative,Customer Service Issue,United,-1
process ever end still waiting reply since month pathetic customerservice,negative,Customer Service Issue,United,-1
whats going website flight booking problem three ticket today ive booted system umpteen time,negative,Flight Booking Problems,United,25
get account number website say email unavailable,negative,Customer Service Issue,United,-1
received bag last night still missing one,negative,Lost Luggage,United,0
youll need upgrade seat even economy plus like sitting concrete bench,negative,Bad Flight,United,4
flight also delayed pilot boarded sit scheduling,negative,Late Flight,United,6
way simple apology go long way even hollow one obvious dont care wellbeing,negative,Customer Service Issue,United,52
isnt one time thing either shocking pattern repeated neglect disrespect,negative,Customer Service Issue,United,-1
finger crossed amp intact disappointed experience actually saying enjoyed using,negative,Can't Tell,United,3
incredibly easy fix would rather stay comfort zone get forced mine,negative,Customer Service Issue,United,-1
july zero excuse outofdate system cause problem like,negative,Flight Attendant Complaints,United,-1
everyone around sitting friend family member booked ticket october december bought,negative,Can't Tell,United,-1
not sure talking going nonstop flight sna sfo sfo ewr,negative,Customer Service Issue,United,21
moving talk service,negative,Customer Service Issue,United,-1
asked legitimate question systemwide localized problem got back unrelate flightd copypaste better,negative,Customer Service Issue,United,-1
time call need ski airport get faith united,negative,Lost Luggage,United,-1
see guy amazing one company continually make mistake yet fails held accountable error,negative,Can't Tell,United,-1
yeah sorry there always problem united international reputation problem,negative,Late Flight,United,51
maybe would care hear went whoever listens issue caused,negative,Can't Tell,United,-1
wonder sharing insta would produce number character really limit story telling,negative,Can't Tell,United,-1
youre telling number call left airport negligent pilot staff,negative,Flight Attendant Complaints,United,-1
could email resent doesnt appear arrived,negative,Customer Service Issue,United,72
follow order dmcome,negative,Customer Service Issue,United,-1
united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice,negative,Bad Flight,United,-1
didnt drop bag overnight amp leaving week supposed hold bag,negative,Lost Luggage,United,0
detail still response book today,negative,Customer Service Issue,United,35
not able confirmation number,negative,Customer Service Issue,United,-1
ive sent message let know got not twitterliterate also really going stuck hr,negative,Late Flight,United,35
unhappy response complaint emailed feb ref awful customer service,negative,Customer Service Issue,United,10
not given option using united travelbank recent flight booking problem help using recouping fund thanks,negative,Flight Booking Problems,United,-1
common keep paper work ready dont delay flightsand meeting,negative,Late Flight,United,-1
problem getting fll iah sent making connection please let know,negative,Late Flight,United,12
one make difficult,negative,Flight Attendant Complaints,United,-1
not child someone issue flying prepares ahead time reduce distress caused plane,negative,Bad Flight,United,56
get cancelled flightled hour take,negative,Cancelled Flight,United,1
always happens guy make traveling incredibly stressful uncomfortable good business,negative,Can't Tell,United,5
someone severe anxiety one person help isnt next,negative,Bad Flight,United,-1
seeking client cant get need refund filled form not confident work past indication,negative,Can't Tell,United,20
luckily made flight time disappointed lack communication,negative,Customer Service Issue,United,79
checking see flight atlord got cancelled flighted,negative,Cancelled Flight,United,1
service far horrid wanted end trip high note guess thats not option,negative,Customer Service Issue,United,1
booked flight home month ago requested seat together fiance got middle seat unacceptable,negative,Bad Flight,United,4
pay wifi international business ticket pennypincher,negative,Customer Service Issue,United,11
top thing youve lost luggage could get worse unitedairlines,negative,Lost Luggage,United,0
luggage broken youcouldntmakethis brokenwheel,negative,Damaged Luggage,United,0
maybe one day youll one quoted,negative,Can't Tell,United,-1
flight delayedno one remembered turn heat flight leaving ordseriously,negative,Late Flight,United,58
speak real person get resolved politely efficiently,negative,Customer Service Issue,United,-1
bag make flight iad second day without clothes pretty inconvenient pretty curious unitedairlines,negative,Lost Luggage,United,0
hence ive asking customer service phone number speak real person get sorted,negative,Customer Service Issue,United,-1
bag leave washington yet would convenient seeing left day ago unitedairlines lostluggage,negative,Lost Luggage,United,0
according dm not owed refund please may provided contact number bank file claim,negative,Customer Service Issue,United,20
hour ago need work bag make hotel time need elsewhere,negative,Lost Luggage,United,0
pls properly train agent requested speak customer service amp transferred dead end not even open,negative,Customer Service Issue,United,3
thanks remembering load bag onto connecting flight wait forgot iceland fun clothes,negative,Lost Luggage,United,0
customer service atrocious disrupted travel plan lost luggage impossible talk human,negative,Customer Service Issue,United,0
terminal mia food open esp flight two hour early like recommended cant eat,negative,Customer Service Issue,United,9
flight currently stuck portland missed ride hour delay getmartyhome,negative,Late Flight,United,-1
not responded various request contact number anyone know customer service number unitedairlines,negative,Customer Service Issue,United,-1
looking getting bag lusaka,negative,Lost Luggage,United,0
could update suitcase please online phone tracking told nothing told back yesterday,negative,Lost Luggage,United,0
last thing guy shouldnt charging drink transatlantic flight,negative,Can't Tell,United,-1
lhr arrival lounge fail waited min shower left find hotel know many passenger carry planning,negative,Can't Tell,United,24
completed form doubt use doesnt care day vacation sure wont feel responsibility,negative,Cancelled Flight,United,75
nope told time home sleep airport even though assured would get room,negative,Flight Attendant Complaints,United,32
back expensive holiday worked year pay ruined want compensation amp original case back,negative,Lost Luggage,United,3
thanks united understand would actually like bag back done also want money,negative,Lost Luggage,United,0
frankly worse customer service ever problem happen deal defines company never united,negative,Customer Service Issue,United,51
still valid flight seems strange delay late flight inbound crew hour plane already,negative,Late Flight,United,6
thanks lack help canned response desk,negative,Customer Service Issue,United,35
bad another unforeseeable operational issue return flight,negative,Bad Flight,United,-1
pay luggage delivered arrive wait additional day delivery,negative,Lost Luggage,United,0
hotel people feel like held hostage someone boarding pass cant leave fail,negative,Cancelled Flight,United,24
outbound bag lb bag returning home bag lb logic writing machine human help required,negative,Customer Service Issue,United,0
dont like hear poor experience please share detail wour customer care team,negative,Customer Service Issue,United,7
cancelled flightn left fend flt came late flight getting runaround hr employee blaming previous,negative,Late Flight,United,-1
okay asem find luggage,negative,Lost Luggage,United,0
agent met gate said issue wdelays would taken online,negative,Customer Service Issue,United,2
yes still answer many not luggage day unacceptable,negative,Lost Luggage,United,0
going nothing like always,negative,Customer Service Issue,United,-1
offering room people fail,negative,Can't Tell,United,24
people getting pretty tired action solving problem plus missing day vacation skiing,negative,Flight Attendant Complaints,United,75
take back comment team working hard help far solution hotel food anything fail,negative,Customer Service Issue,United,9
arriving two hour late flight clt sitting tarmac move plane gate unhappy customer,negative,Late Flight,United,2
airline absolute worst idea neveragain unitedairlines,negative,Can't Tell,United,43
thanks might want fix line customer care team currently responding inquiry within business day,negative,Customer Service Issue,United,-1
frustrating frequent flyer loyal since continental upgrade equal paying time top purchase ticket,negative,Flight Booking Problems,United,-1
worse cant figure pack plane screw connectns claim hotl room san fran stranded pax way,negative,Customer Service Issue,United,0
passenger hour delayed flight left hotel end night hou airport wtf,negative,Late Flight,United,6
hey flight iah po leave late flight one back iah early rather get po earlier,negative,Late Flight,United,-1
lost bag process broken agent promised theyd call amp hold bag found theyre waking delivery fail,negative,Lost Luggage,United,0
people counter helpful see nobody flight austin still sitting,negative,Cancelled Flight,United,21
regret hear please let know need assistance finally able secure seat thx,negative,Customer Service Issue,United,4
good know open closed door premier passenger safety briefing delayed flight annoyed,negative,Late Flight,United,-1
yea get phoenix already delay day people bullshit,negative,Late Flight,United,22
consolation staff stellar not hour delay encountered every one flight,negative,Late Flight,United,-1
thats unfortunate xmas gift look like razor ripped right front pocket picture,negative,Damaged Luggage,United,0
lost bag cancelled flightled flight delhi call center poor united staff spread thin stressed name,negative,Cancelled Flight,United,0
yes doesnt make mistake less absurd doesnt change fact inconveniently missing luggage tonight,negative,Lost Luggage,United,0
constantly challenge upgrade amp charge order prevent dvt pay addtl,negative,Can't Tell,United,3
ord waited min crew member left gate item came flight attendant sarcastically said good luck walked away,negative,Flight Attendant Complaints,United,2
needed asap make today flight,negative,Lost Luggage,United,68
agent split reservation cant cancelled flight refund credit wks,negative,Customer Service Issue,United,-1
would make share room,negative,Flight Attendant Complaints,United,24
tried calling min phn wait mean wed miss option anyway,negative,Customer Service Issue,United,-1
ask guy flight bwi wait get delayed flight san diego pretty please,negative,Late Flight,United,-1
still waiting find rep working hard upset wait tomorrow get mammoth,negative,Customer Service Issue,United,-1
early flt think call appropriate yes reviewed nada avail next day expect full refund,negative,Cancelled Flight,United,20
ask call get fixed tweeting question stall make thing worse phone number please,negative,Customer Service Issue,United,-1
stuck tarmac hour going miss ride help please helpimstuck united,negative,Late Flight,United,33
highly unprofessional overbook flight seat ampfeel rearrange schedule mismanagement,negative,Customer Service Issue,United,4
well considering every agent claimed unable help everything else waste time hear call corp,negative,Flight Attendant Complaints,United,19
ice totally understand large number facing hour time overnight cancelled flightations seems like,negative,Cancelled Flight,United,-1
flt cancelled flightled get email happened courtesy phn call book diff airline amp city,negative,Cancelled Flight,United,23
better train support staff appropriate decorum consider revisiting terrible provide death certificate policy,negative,Customer Service Issue,United,-1
well bar set low guy really good apology game change guy learn,negative,Can't Tell,United,52
website deserves new design html ftw,negative,Can't Tell,United,-1
thanks effing holiday missing full day skiing due baggage team incompetence,negative,Lost Luggage,United,0
agent help person front finish walk away guy behind shocked,negative,Customer Service Issue,United,19
connection ord exact plane checked carryon apparently taken amp left chicago pretty ridiculous,negative,Lost Luggage,United,3
not encouraged ill cpap tonight,negative,Lost Luggage,United,-1
yes file claim soon carousel stopped without bag got email found not sched delivery,negative,Lost Luggage,United,0
delay dencle manually enter baggage tag really worst cust service day ker friendlyskies,negative,Late Flight,United,0
